assay,cq,day,run,id,dilution,sample,target,gu_well,area_vol,gu_conc,lod
16s rrna,22.4664930655655,one,run 1b,cn_b_2,2,cellulose_nitrate,total_cyano,31331.393743747012,4.908738521234052,3191389.5604965254,916.7324722093172
16s rrna,22.3565209097103,one,run 1b,cn_b_3,2,cellulose_nitrate,total_cyano,33744.48339821339,4.908738521234052,3437184.854341158,916.7324722093172
16s rrna,24.2223228769686,one,run 1b,g_b_1,2,gauze,total_cyano,9583.010806349783,4.908738521234052,976117.4653015153,916.7324722093172
16s rrna,24.209256531759,one,run 1b,g_b_2,2,gauze,total_cyano,9667.864677619376,4.908738521234052,984760.6096554605,916.7324722093172
16s rrna,24.1942929246628,one,run 1b,g_b_3,2,gauze,total_cyano,9765.962826360532,4.908738521234052,994752.8050348645,916.7324722093172
16s rrna,22.5226502383536,two,run 2a,s_c_2,2,initial,total_cyano,30166.507697726815,10,1508325.3848863407,450
16s rrna,19.9271109098596,two,run 2a,c_c_1,2,control,total_cyano,173798.9047742977,10,8689945.238714885,450
16s rrna,18.2990043491617,two,run 2a,cn_c_1,2,cellulose_nitrate,total_cyano,521315.2548631164,4.908738521234052,53100735.82123277,916.7324722093172
16s rrna,18.3614631406758,two,run 2a,cn_c_2,2,cellulose_nitrate,total_cyano,499803.5199093282,4.908738521234052,50909568.49171079,916.7324722093172
16s rrna,18.3566606703462,two,run 2a,cn_c_3,2,cellulose_nitrate,total_cyano,501425.5826018129,4.908738521234052,51074790.44083968,916.7324722093172
16s rrna,20.0372850328225,two,run 2a,c_c_2,2,control,total_cyano,161348.44615335396,10,8067422.307667698,450
16s rrna,19.8713372080569,two,run 2a,c_c_3,2,control,total_cyano,180463.49026528068,10,9023174.513264034,450
16s rrna,19.1441543664652,two,run 2a,ac_c_1,2,acrylic_copolymer,total_cyano,294755.58536774147,4.908738521234052,30023557.38574156,916.7324722093172
16s rrna,19.0437063408587,two,run 2a,ac_c_2,2,acrylic_copolymer,total_cyano,315423.7831086352,4.908738521234052,32128802.720310517,916.7324722093172
16s rrna,19.1165474443775,two,run 2a,ac_c_3,2,acrylic_copolymer,total_cyano,300297.12871957896,4.908738521234052,30588014.356495462,916.7324722093172
16s rrna,19.6358193713088,two,run 2a,g_c_1,2,gauze,total_cyano,211543.02389213315,4.908738521234052,21547595.47458554,916.7324722093172
16s rrna,19.5915060486983,two,run 2a,g_c_2,2,gauze,total_cyano,217963.11517060225,4.908738521234052,22201540.602310035,916.7324722093172
16s rrna,19.5698948474679,two,run 2a,g_c_3,2,gauze,total_cyano,221164.45500344178,4.908738521234052,22527626.400014605,916.7324722093172
16s rrna,20.5081458079491,two,run 2b,s_d_1,2,initial,total_cyano,117434.93820989676,8,7339683.638118547,562.5
16s rrna,20.55585481094,two,run 2b,s_d_2,2,initial,total_cyano,113715.07787667603,8,7107192.367292252,562.5
16s rrna,20.5678830796765,two,run 2b,s_d_3,2,initial,total_cyano,112795.98369865435,8,7049748.981165897,562.5
16s rrna,19.5501896204079,two,run 2b,c_d_1,2,control,total_cyano,224124.42121392922,8,14007776.325870577,562.5
16s rrna,19.5967430809333,two,run 2b,c_d_2,2,control,total_cyano,217194.33693286107,8,13574646.058303816,562.5
16s rrna,19.5379864859218,two,run 2b,c_d_3,2,control,total_cyano,225977.31057910377,8,14123581.911193985,562.5
16s rrna,18.6020351823851,two,run 2b,ac_d_1,2,acrylic_copolymer,total_cyano,424921.8038297783,4.908738521234052,43282179.524501674,916.7324722093172
16s rrna,18.8219781659818,two,run 2b,ac_d_2,2,acrylic_copolymer,total_cyano,366322.22368429677,4.908738521234052,37313275.30481332,916.7324722093172
16s rrna,18.6300973450522,two,run 2b,ac_d_3,2,acrylic_copolymer,total_cyano,416952.4110237746,4.908738521234052,42470423.839051135,916.7324722093172
16s rrna,17.4955951617289,two,run 2b,cn_d_1,2,cellulose_nitrate,total_cyano,896413.306417315,4.908738521234052,91307909.61258592,916.7324722093172
16s rrna,17.3467979415468,two,run 2b,cn_d_2,2,cellulose_nitrate,total_cyano,991077.3279751975,4.908738521234052,100950307.66947855,916.7324722093172
16s rrna,17.5098854291364,two,run 2b,cn_d_3,2,cellulose_nitrate,total_cyano,887812.155170726,4.908738521234052,90431803.54079351,916.7324722093172
16s rrna,19.0805893776783,two,run 2b,g_d_1,2,gauze,total_cyano,307671.5183039262,4.908738521234052,31339163.511461385,916.7324722093172
16s rrna,19.0889629926459,two,run 2b,g_d_2,2,gauze,total_cyano,305938.21751557285,4.908738521234052,31162610.942929212,916.7324722093172
16s rrna,18.9988587753418,two,run 2b,g_d_3,2,gauze,total_cyano,325113.70220921305,4.908738521234052,33115809.775041737,916.7324722093172
